Code,Parent,Name_fr
"61120","6112","Producteurs de fruits et de baies, sip"
"61121","6112","Producteurs de fruits et de baies (à l'exception de la viticulture)"
"61122","6112","Producteurs de fruits et de baies, viticulture"
"61130","6113","Horticulteurs, sip"
"61131","6113","Horticulteurs, paysagisme"
"61132","6113","Horticulteurs, production de plantes"
"61140","6114","Agriculteurs et ouvriers qualifiés, cultures diversifiées"
"61200","6120","Éleveurs et ouvriers qualifiés de l’élevage commercial et assimilés, sip"
"61210","6121","Éleveurs et ouvriers qualifiés de l’élevage de bétail, sip"
"61211","6121","Éleveurs et ouvriers qualifiés de l’élevage de bétail (à l'exception du domaine équin)"
"61212","6121","Éleveurs et ouvriers qualifiés de l’élevage de bétail, domaine équin"
"61220","6122","Aviculteurs et ouvriers qualifiés de l’aviculture"
"61230","6123","Apiculteurs, sériciculteurs et ouvriers qualifiés de l’apiculture et de la sériciculture"
"61290","6129","Éleveurs et ouvriers qualifiés de l’élevage commercial et assimilés, non classés ailleurs"
"61300","6130","Agriculteurs et ouvriers qualifiés des cultures et de l’élevage à but commercial"
"62000","6200","Professions commerciales qualifiées de la sylviculture, de la pêche et de la chasse, sip"
"62100","6210","Exploitants et ouvriers forestiers"
"62200","6220","Pêcheurs, chasseurs et trappeurs, sip"
"62210","6221","Aquaculteurs et ouvriers de l’aquaculture"
"62220","6222","Pêcheurs de la pêche côtière et en eaux intérieures"
"62230","6223","Pêcheurs de la pêche en haute mer"
"62240","6224","Chasseurs et trappeurs"
"63000","6300","Agriculteurs, pêcheurs, chasseurs et cueilleurs de subsistance, sip"
"63100","6310","Agriculteurs, subsistance"
"63200","6320","Éleveurs de bétail, subsistance"
"63300","6330","Agriculteurs et éleveurs, subsistance"
"63400","6340","Pêcheurs, chasseurs, trappeurs et cueilleurs, subsistance"
"70000","7000","Métiers qualifiés de l’industrie et de l’artisanat, sip"
"71000","7100","Métiers qualifiés du bâtiment et assimilés, sauf électriciens, sip"
"71100","7110","Métiers qualifiés du bâtiment (domaine principal de la construction) et assimilés, sip"
